year,month,product,country,volume_kg,value_usd
2023,01,ABALONE DRIED/SALTED/BRINE,CHILE,1835,53200
2023,01,ABALONE DRIED/SALTED/BRINE,CHINA,600,7440
2023,01,ABALONE DRIED/SALTED/BRINE,CHINA - HONG KONG,236,20800
2023,01,ABALONE DRIED/SALTED/BRINE,SOUTH AFRICA,229,12818
2023,01,ABALONE FROZEN,AUSTRALIA,375,53725
2023,01,ABALONE FROZEN,CHINA,1305,42150
2023,01,ABALONE FROZEN,CHINA - HONG KONG,600,61200
2023,01,ABALONE FROZEN,MEXICO,1000,60000
2023,01,ABALONE FROZEN,SOUTH AFRICA,52,2964
2023,01,ABALONE FROZEN,SOUTH KOREA,4546,113776
2023,01,ABALONE LIVE/FRESH,CHILE,13059,77871
2023,01,ABALONE LIVE/FRESH,MEXICO,4220,41075
2023,01,ABALONE LIVE/FRESH,SOUTH KOREA,12944,110683
2023,01,ABALONE PREPARED/PRESERVED,AUSTRALIA,1132,80909
2023,01,ABALONE PREPARED/PRESERVED,CHILE,8946,272320
2023,01,ABALONE PREPARED/PRESERVED,CHINA,9607,244271
2023,01,ABALONE PREPARED/PRESERVED,SOUTH KOREA,496,16843
2023,01,ABALONE PREPARED/PRESERVED,TAIWAN,7746,198726
2023,01,ABALONE PRODUCTS PREPARED DINNERS,SOUTH KOREA,9813,44031
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,CHINA,70919,246492
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,JAPAN,424,2643
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,MALAYSIA,18327,61441
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,MEXICO,16511,116844
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,SOUTH KOREA,864,4693
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,TAIWAN,13912,110630
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,THAILAND,64118,181927
2023,01,ANALOG PRODUCT CONTAINING SHELLFISH,VIETNAM,6088,33320
2023,01,ANCHOVY CANNED IN OIL,GREECE,297,3676
2023,01,ANCHOVY CANNED IN OIL,ITALY,63574,774052
2023,01,ANCHOVY CANNED IN OIL,MOROCCO,115354,1931915
2023,01,ANCHOVY CANNED IN OIL,PERU,37203,351599
2023,01,ANCHOVY CANNED IN OIL,SPAIN,20662,339009
2023,01,ANCHOVY CANNED NOT IN OIL > 6.8KG,CHINA,1440,2589
2023,01,ANCHOVY CANNED NOT IN OIL > 6.8KG,JAPAN,102,3412
2023,01,ANCHOVY CANNED NOT IN OIL > 6.8KG,SOUTH KOREA,1270,19240
2023,01,ANCHOVY CANNED NOT IN OIL > 6.8KG,SPAIN,200,6024
2023,01,ANCHOVY CANNED NOT IN OIL NOT > 6.8KG,ITALY,2981,23846
2023,01,ANCHOVY CANNED NOT IN OIL NOT > 6.8KG,PHILIPPINES,350,3971
2023,01,ANCHOVY CANNED NOT IN OIL NOT > 6.8KG,SOUTH KOREA,17743,59049
2023,01,ANCHOVY CANNED NOT IN OIL NOT > 6.8KG,SPAIN,318,7188
2023,01,ANCHOVY CANNED NOT IN OIL NOT > 6.8KG,THAILAND,2239,13500
2023,01,ANCHOVY FRESH,GREECE,804,4613
2023,01,ANCHOVY SALTED > 6.8KG,CHINA,14250,40190
2023,01,ANCHOVY SALTED > 6.8KG,INDIA,17135,70584
2023,01,ANCHOVY SALTED > 6.8KG,SOUTH KOREA,800,4016
2023,01,ANCHOVY SALTED NOT IN ATC NOT > 6.8KG,SOUTH KOREA,2075,35759
2023,01,ANCHOVY SALTED NOT IN ATC NOT > 6.8KG,VIETNAM,403,5732
2023,01,AQUATIC INVERTEBRATES NSPF,AUSTRALIA,20807,273951
2023,01,AQUATIC INVERTEBRATES NSPF,INDONESIA,6725,128225
2023,01,AQUATIC INVERTEBRATES NSPF,SINGAPORE,359,5027
2023,01,AQUATIC INVERTEBRATES NSPF,SOUTH KOREA,3215,38884
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,CHINA,165603,556985
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,ITALY,2842,41832
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,MEXICO,7303,59849
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,NICARAGUA,1372,10886
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,PERU,56028,281090
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,PHILIPPINES,10433,18166
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,PORTUGAL,45070,234092
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,SOUTH KOREA,12499,127380
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,SPAIN,33120,225400
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,THAILAND,31438,204402
2023,01,AQUATIC INVERTEBRATES NSPF PREPARED/PRESERVED,VIETNAM,13463,66155
2023,01,ATKA MACKEREL FROZEN,INDIA,9534,36956
2023,01,BASS FRESH,CANADA,1634,21671
2023,01,BASS FRESH,MAURITIUS,5149,40781
2023,01,BASS FRESH,MEXICO,27288,287516
2023,01,BONITO CANNED IN OIL,SPAIN,836,8851
2023,01,BONITO CANNED NOT IN OIL,SPAIN,871,10990
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED IN OIL",ECUADOR,3436,21450
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED IN OIL",SPAIN,646,5049
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",CHILE,15984,49375
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",CHINA,204529,835910
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",ECUADOR,17397,78063
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",FRANCE,60308,234284
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",SOUTH KOREA,7416,38902
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",SPAIN,40470,206080
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",THAILAND,134122,495520
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",VIETNAM,261296,806010
2023,01,BUTTERFISH FROZEN,BRAZIL,40571,120867
2023,01,BUTTERFISH FROZEN,CHINA,206753,494280
2023,01,BUTTERFISH FROZEN,GUYANA,2853,12580
2023,01,CAPELIN FROZEN,CANADA,5624,11158
2023,01,CAPELIN FROZEN,JAPAN,300,2183
2023,01,CAPELIN FROZEN,NORWAY,24075,29850
2023,01,CARP NSPF FROZEN,BANGLADESH,562,9357
2023,01,CARP NSPF FROZEN,BURMA,75624,219581
2023,01,CARP NSPF FROZEN,VIETNAM,4763,16301
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA DRIED",NIGERIA,1918,24910
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA DRIED",SOUTH KOREA,8395,123914
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",NORWAY,123417,477500
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",SOUTH KOREA,274,2112
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA SMOKED",GHANA,1169,10256
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA SMOKED",NIGERIA,307,2250
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA SMOKED",SIERRA LEONE,5180,35000
2023,01,"CARP,CATFISH,EELS,SNAKEHEAD,TILAPIA FROZEN NOT > 6.8KG",VIETNAM,342,4868
2023,01,"CARP,CATFISH,EELS,SNAKEHEAD,TILAPIA MEAT FROZEN > 6.8KG",CHINA,20208,109148
2023,01,"CARP,EELS,SNAKEHEAD FILLET FROZEN",CHINA,48082,200200
2023,01,"CARP,EELS,SNAKEHEAD FILLET FROZEN",SURINAME,41401,241871
2023,01,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,576081,2736164
